1843            : 1 : [p11:s0], 
at              : 153 : [p47:s3], [p49:s1], [p49:s6], [p51:s3], [p53:s3], [p54:s3], [p85:s1], [p91:s1], [p92:s0], [p92:s1], [p99:s1], [p103:s2], [p109:s1], [p109:s3], [p110:s3], [p110:s3], [p114:s0], [p122:s1], [p122:s1], [p123:s2], [p124:s0], [p125:s2], [p126:s0], [p134:s4], [p152:s1], [p163:s0], [p166:s0], [p169:s0], [p195:s0], [p196:s0], [p197:s0], [p210:s0], [p211:s0], [p213:s0], [p217:s3], [p220:s3], [p226:s1], [p231:s1], [p241:s1], [p241:s1], [p241:s2], [p243:s0], [p243:s1], [p246:s1], [p253:s0], [p259:s0], [p272:s3], [p276:s0], [p276:s2], [p278:s1], [p279:s7], [p285:s2], [p287:s0], [p288:s1], [p295:s3], [p303:s0], [p305:s1], [p307:s0], [p312:s0], [p315:s10], [p315:s10], [p319:s6], [p361:s0], [p361:s8], [p362:s0], [p381:s2], [p381:s2], [p381:s3], [p381:s3], [p402:s2], [p402:s3], [p402:s3], [p403:s4], [p403:s4], [p404:s1], [p414:s0], [p418:s1], [p420:s1], [p422:s2], [p429:s1], [p430:s0], [p439:s2], [p439:s3], [p440:s4], [p441:s2], [p443:s5], [p443:s7], [p444:s0], [p444:s2], [p464:s2], [p464:s2], [p464:s3], [p464:s3], [p464:s3], [p464:s4], [p465:s2], [p466:s3], [p467:s0], [p474:s1], [p475:s1], [p475:s2], [p476:s1], [p485:s1], [p494:s3], [p495:s0], [p495:s1], [p495:s1], [p497:s1], [p497:s1], [p497:s3], [p497:s13], [p498:s2], [p501:s2], [p501:s3], [p506:s1], [p510:s1], [p511:s2], [p515:s0], [p516:s0], [p517:s0], [p519:s1], [p545:s1], [p558:s2], [p564:s2], [p569:s0], [p571:s1], [p578:s0], [p611:s3], [p612:s0], [p614:s1], [p621:s0], [p621:s0], [p622:s0], [p637:s2], [p645:s1], [p649:s1], [p651:s1], [p654:s0], [p662:s1], [p672:s0], [p673:s0], [p693:s1], [p720:s0], [p729:s1], [p732:s2], [p736:s0], [p737:s0], [p750:s0], [p755:s1], [p760:s2], [p761:s0], [p764:s2], [p772:s3], 
ate             : 1 : [p440:s4], 
atmosphere      : 2 : [p163:s1], [p350:s0], 
atom            : 1 : [p440:s4], 
atoms           : 1 : [p401:s1], 
attach          : 1 : [p569:s0], 
attached        : 2 : [p217:s3], [p310:s4], 
attended        : 1 : [p361:s0], 
attention       : 2 : [p162:s1], [p736:s0], 
attentively     : 1 : [p362:s0], 
attire          : 1 : [p471:s2], 
attired         : 1 : [p422:s1], 
attitude        : 3 : [p132:s3], [p212:s2], [p241:s2], 
attract         : 1 : [p134:s3], 
attractive      : 1 : [p772:s3], 
aught           : 1 : [p397:s2], 
aunts           : 1 : [p466:s2], 
authority       : 1 : [p510:s2], 
avarice         : 2 : [p334:s3], [p613:s2], 
avoid           : 1 : [p631:s0], 
awake           : 1 : [p230:s1], 
awaking         : 1 : [p379:s0], 
away            : 21 : [p243:s1], [p313:s2], [p314:s0], [p314:s1], [p314:s1], [p315:s10], [p320:s4], [p401:s1], [p402:s0], [p404:s0], [p427:s0], [p464:s0], [p475:s0], [p496:s1], [p544:s0], [p559:s0], [p607:s3], [p676:s1], [p697:s4], [p742:s1], [p763:s1], 
aweek           : 1 : [p421:s2], 
awful           : 3 : [p163:s1], [p474:s0], [p609:s0], 
awkwardly       : 1 : [p315:s9], 
awoke           : 2 : [p223:s0], [p354:s1], 
axe             : 1 : [p278:s1], 
baba            : 2 : [p279:s0], [p279:s2], 
baby            : 5 : [p109:s7], [p361:s4], [p380:s1], [p711:s4], [p711:s7], 
bachelor        : 1 : [p491:s0], 
back            : 25 : [p47:s0], [p91:s1], [p128:s1], [p136:s1], [p229:s1], [p241:s1], [p242:s1], [p276:s0], [p292:s7], [p312:s1], [p315:s10], [p319:s8], [p361:s2], [p372:s1], [p379:s2], [p383:s4], [p403:s4], [p438:s0], [p472:s3], [p523:s0], [p690:s0], [p728:s2], [p728:s3], [p768:s1], [p770:s1], 
backpayments    : 1 : [p743:s2], 
backs           : 1 : [p270:s1], 
backshop        : 1 : [p320:s4], 
backward        : 1 : [p213:s0], 
backyard        : 1 : [p441:s2], 
bad             : 7 : [p125:s1], [p130:s0], [p475:s2], [p572:s0], [p624:s1], [p625:s0], [p633:s1], 
bade            : 3 : [p295:s4], [p382:s0], [p472:s0], 
badly           : 1 : [p103:s3], 
bag             : 1 : [p607:s1], 
bags            : 1 : [p402:s4], 
bah             : 2 : [p56:s0], [p61:s0], 
baker           : 1 : [p315:s6], 
bakers          : 6 : [p404:s1], [p404:s2], [p405:s0], [p405:s0], [p420:s1], [p422:s2], 
baking          : 1 : [p466:s1], 
balancing       : 1 : [p63:s3], 
baleful         : 1 : [p464:s0], 
ball            : 4 : [p29:s1], [p317:s1], [p318:s1], [p320:s0], 
ballroom        : 1 : [p314:s3], 
balustrades     : 1 : [p130:s0], 
bandage         : 2 : [p169:s1], [p212:s1], 
bang            : 1 : [p128:s2], 
bankersbook     : 1 : [p123:s0], 
bare            : 5 : [p242:s3], [p276:s1], [p387:s2], [p387:s3], [p609:s0], 
bared           : 1 : [p467:s2], 
barely          : 1 : [p375:s1], 
bareness        : 1 : [p275:s4], 
barer           : 1 : [p276:s1], 
bargain         : 2 : [p46:s5], [p109:s6], 
barred          : 1 : [p510:s2], 
barrels         : 1 : [p383:s5], 
barren          : 1 : [p471:s3], 
base            : 1 : [p473:s1], 
basin           : 1 : [p132:s2], 
baskets         : 2 : [p402:s2], [p403:s4], 
basking         : 1 : [p422:s2], 
bass            : 1 : [p496:s1], 
battled         : 1 : [p302:s0], 
